Description,Amount,Type,Account
DoorDash Driver Pay #4591,316.9,Credit,Accounts Receivable
Uber Payout - TX,249.03,Credit,Accounts Receivable
Stripe Transfer,67.75,Credit,Accounts Receivable
Received Check #9813 In-store,39.19,Credit,Accounts Receivable
Uber Payout #8837,170.3,Credit,Accounts Receivable
Venmo Payment (5/13/2025),14.28,Credit,Accounts Receivable
DoorDash Driver Pay (8/12/2025),285.68,Credit,Accounts Receivable
Zelle from John Doe,179.65,Credit,Accounts Receivable
DoorDash Driver Pay (1/8/2025),11.64,Credit,Accounts Receivable
Square Deposit,73.45,Credit,Accounts Receivable
Received Check #6092 In-store,336.06,Credit,Accounts Receivable
PayPal Business In-store,286.01,Credit,Accounts Receivable
Uber Payout,311.59,Credit,Accounts Receivable
Cash App Transfer #6118,204.22,Credit,Accounts Receivable
Cash App Transfer - NY,296.15,Credit,Accounts Receivable
Check #1600 - CA,355.12,Credit,Accounts Receivable
Stripe Transfer - NY,271.15,Credit,Accounts Receivable
Check #1721,234.74,Credit,Accounts Receivable
Stripe Transfer #1887,233.16,Credit,Accounts Receivable
PayPal Business Online,21.88,Credit,Accounts Receivable
Check #6647 #2861,170.64,Credit,Accounts Receivable
PayPal Business In-store,148.32,Credit,Accounts Receivable
Received Check #2456 #7941,50.67,Credit,Accounts Receivable
Client Check #4908 #7353,217.35,Credit,Accounts Receivable
Square Deposit - TX,7.9,Credit,Accounts Receivable
Stripe Transfer (1/7/2025),163.45,Credit,Accounts Receivable
Client Check #8942 (2/20/2025),424.85,Credit,Accounts Receivable
Venmo Payment,57.68,Credit,Accounts Receivable
Venmo Payment #8834,260.66,Credit,Accounts Receivable
PayPal Business - NY,160.24,Credit,Accounts Receivable
Check #8708 (1/25/2025),466.07,Credit,Accounts Receivable
Client Check #1633 - CA,175.47,Credit,Accounts Receivable
Zelle from John Doe (5/14/2025),243.76,Credit,Accounts Receivable
Received Check #9095,431.95,Credit,Accounts Receivable
Check #4428,55.5,Credit,Accounts Receivable
Client Check #7263 Online,488.51,Credit,Accounts Receivable
Square Deposit #3084,96.96,Credit,Accounts Receivable
PayPal Business #5750,285.2,Credit,Accounts Receivable
DoorDash Driver Pay Online,45.29,Credit,Accounts Receivable
Cash App Transfer Online,179.32,Credit,Accounts Receivable
Stripe Transfer - CA,132.14,Credit,Accounts Receivable
Uber Payout (10/21/2025),379.64,Credit,Accounts Receivable
Uber Payout Online,349.54,Credit,Accounts Receivable
Check #9495 (3/9/2025),154.59,Credit,Accounts Receivable
Stripe Transfer #9311,141.45,Credit,Accounts Receivable
Uber Payout (12/17/2025),202.04,Credit,Accounts Receivable
Cash App Transfer (1/22/2025),374.36,Credit,Accounts Receivable
Zelle from John Doe In-store,20.3,Credit,Accounts Receivable
Client Check #2715 (5/26/2025),398.86,Credit,Accounts Receivable
Client Check #9447 - CA,21.68,Credit,Accounts Receivable
Venmo Payment,297.14,Credit,Accounts Receivable
Received Check #5835,208.31,Credit,Accounts Receivable
Stripe Transfer (7/1/2025),357.09,Credit,Accounts Receivable
Square Deposit - CA,18.05,Credit,Accounts Receivable
Check #7755 #7207,227.53,Credit,Accounts Receivable
PayPal Business (12/10/2025),322.8,Credit,Accounts Receivable
Check #5665 In-store,335.43,Credit,Accounts Receivable
Check #1074 Online,338.02,Credit,Accounts Receivable
Uber Payout,454.91,Credit,Accounts Receivable
Check #7627 #3493,22.83,Credit,Accounts Receivable
Square Deposit (8/4/2025),303.3,Credit,Accounts Receivable
Uber Payout - NY,459.4,Credit,Accounts Receivable
Check #6900 #8675,393.1,Credit,Accounts Receivable
Stripe Transfer - CA,199.57,Credit,Accounts Receivable
Venmo Payment Online,61.58,Credit,Accounts Receivable
Received Check #8036 - TX,239.28,Credit,Accounts Receivable
DoorDash Driver Pay,229.71,Credit,Accounts Receivable
Received Check #6225 #7389,402.16,Credit,Accounts Receivable
Zelle from John Doe #4616,350.85,Credit,Accounts Receivable
Check #2645 (11/26/2025),359.55,Credit,Accounts Receivable
Cash App Transfer #2852,466.54,Credit,Accounts Receivable
Venmo Payment #5424,397.06,Credit,Accounts Receivable
Zelle from John Doe In-store,266.7,Credit,Accounts Receivable
DoorDash Driver Pay #5921,111.75,Credit,Accounts Receivable
Client Check #5954 #8729,358.27,Credit,Accounts Receivable
Square Deposit - CA,405.29,Credit,Accounts Receivable
PayPal Business - TX,240.06,Credit,Accounts Receivable
Received Check #3143 - TX,260.87,Credit,Accounts Receivable
Zelle from John Doe (11/21/2025),411.53,Credit,Accounts Receivable
Venmo Payment Online,349.84,Credit,Accounts Receivable
Venmo Payment Online,360.74,Credit,Accounts Receivable
Received Check #4601 #5991,366.58,Credit,Accounts Receivable
Received Check #5723 (11/16/2025),258.4,Credit,Accounts Receivable
PayPal Business - NY,437.64,Credit,Accounts Receivable
Stripe Transfer Online,159.65,Credit,Accounts Receivable
DoorDash Driver Pay - CA,26.67,Credit,Accounts Receivable
DoorDash Driver Pay,338.66,Credit,Accounts Receivable
Venmo Payment - TX,290.69,Credit,Accounts Receivable
Venmo Payment #7125,330.53,Credit,Accounts Receivable
Cash App Transfer #1333,160.81,Credit,Accounts Receivable
Client Check #7448,265.53,Credit,Accounts Receivable
Venmo Payment Online,466.46,Credit,Accounts Receivable
Client Check #9812 - NY,237.21,Credit,Accounts Receivable
DoorDash Driver Pay In-store,308.73,Credit,Accounts Receivable
Client Check #3931 - NY,138.35,Credit,Accounts Receivable
Zelle from John Doe #3230,76.88,Credit,Accounts Receivable
Received Check #4825 #4450,135.32,Credit,Accounts Receivable
Uber Payout Online,130.89,Credit,Accounts Receivable
Uber Payout - NY,68.0,Credit,Accounts Receivable
DoorDash Driver Pay - NY,127.09,Credit,Accounts Receivable
Zelle from John Doe (4/12/2025),15.03,Credit,Accounts Receivable
PayPal Business - CA,300.34,Credit,Accounts Receivable
Venmo Payment (2/27/2025),177.7,Credit,Accounts Receivable
Stripe Transfer #7626,473.14,Credit,Accounts Receivable
Check #9382,418.24,Credit,Accounts Receivable
Cash App Transfer (3/10/2025),17.04,Credit,Accounts Receivable
Zelle from John Doe #4625,357.7,Credit,Accounts Receivable
Check #6108 #7696,360.0,Credit,Accounts Receivable
Cash App Transfer - TX,133.46,Credit,Accounts Receivable
DoorDash Driver Pay - NY,287.24,Credit,Accounts Receivable
Stripe Transfer #3910,316.78,Credit,Accounts Receivable
Zelle from John Doe (6/13/2025),121.1,Credit,Accounts Receivable
PayPal Business In-store,409.55,Credit,Accounts Receivable
Uber Payout #3819,132.28,Credit,Accounts Receivable
Venmo Payment (9/16/2025),167.85,Credit,Accounts Receivable
DoorDash Driver Pay,134.03,Credit,Accounts Receivable
Stripe Transfer (3/23/2025),107.91,Credit,Accounts Receivable
Zelle from John Doe In-store,491.17,Credit,Accounts Receivable
Square Deposit #6458,115.17,Credit,Accounts Receivable
Received Check #4715,49.77,Credit,Accounts Receivable
Zelle from John Doe (1/7/2025),474.05,Credit,Accounts Receivable
Zelle from John Doe In-store,152.5,Credit,Accounts Receivable
PayPal Business (3/28/2025),446.36,Credit,Accounts Receivable
DoorDash Driver Pay Online,370.09,Credit,Accounts Receivable
Zelle from John Doe - TX,228.27,Credit,Accounts Receivable
Stripe Transfer In-store,365.52,Credit,Accounts Receivable
Cash App Transfer #2907,79.76,Credit,Accounts Receivable
DoorDash Driver Pay Online,440.75,Credit,Accounts Receivable
DoorDash Driver Pay - CA,397.84,Credit,Accounts Receivable
Client Check #5267 In-store,73.91,Credit,Accounts Receivable
Cash App Transfer - CA,71.81,Credit,Accounts Receivable
Square Deposit - CA,316.29,Credit,Accounts Receivable
Zelle from John Doe - TX,45.65,Credit,Accounts Receivable
Check #4472 Online,224.73,Credit,Accounts Receivable
Stripe Transfer (3/2/2025),164.13,Credit,Accounts Receivable
Stripe Transfer (8/14/2025),459.92,Credit,Accounts Receivable
Received Check #7609 In-store,62.13,Credit,Accounts Receivable
Client Check #3768,460.55,Credit,Accounts Receivable
Received Check #8224 #4774,60.77,Credit,Accounts Receivable
Uber Payout,214.2,Credit,Accounts Receivable
Square Deposit,288.17,Credit,Accounts Receivable
Uber Payout Online,266.06,Credit,Accounts Receivable
Check #6921 - NY,434.61,Credit,Accounts Receivable
Check #8429 - NY,163.59,Credit,Accounts Receivable
DoorDash Driver Pay,202.65,Credit,Accounts Receivable
Stripe Transfer #9185,422.55,Credit,Accounts Receivable
Received Check #4863 (7/13/2025),125.77,Credit,Accounts Receivable
Stripe Transfer In-store,335.52,Credit,Accounts Receivable
PayPal Business (9/2/2025),493.07,Credit,Accounts Receivable
Check #1721 #7313,213.34,Credit,Accounts Receivable
PayPal Business,431.51,Credit,Accounts Receivable
Uber Payout Online,417.24,Credit,Accounts Receivable
Check #4418 (12/17/2025),183.4,Credit,Accounts Receivable
Check #5937 Online,177.22,Credit,Accounts Receivable
Cash App Transfer #8928,254.95,Credit,Accounts Receivable
PayPal Business - TX,223.8,Credit,Accounts Receivable
DoorDash Driver Pay (5/23/2025),331.3,Credit,Accounts Receivable
Cash App Transfer In-store,365.44,Credit,Accounts Receivable
PayPal Business Online,61.36,Credit,Accounts Receivable
Zelle from John Doe,48.86,Credit,Accounts Receivable
DoorDash Driver Pay,149.22,Credit,Accounts Receivable
Square Deposit In-store,178.05,Credit,Accounts Receivable
Zelle from John Doe - CA,370.71,Credit,Accounts Receivable
Received Check #3802 (3/8/2025),104.39,Credit,Accounts Receivable
PayPal Business,287.47,Credit,Accounts Receivable
Square Deposit,91.06,Credit,Accounts Receivable
PayPal Business,420.23,Credit,Accounts Receivable
Client Check #5228 #9363,470.23,Credit,Accounts Receivable
Cash App Transfer,358.44,Credit,Accounts Receivable
Cash App Transfer #7149,23.18,Credit,Accounts Receivable
Client Check #1979 Online,41.06,Credit,Accounts Receivable
Cash App Transfer #3603,391.69,Credit,Accounts Receivable
Zelle from John Doe #4093,136.5,Credit,Accounts Receivable
Stripe Transfer (3/8/2025),491.18,Credit,Accounts Receivable
Check #2808 (6/22/2025),269.3,Credit,Accounts Receivable
Square Deposit - TX,287.46,Credit,Accounts Receivable
Square Deposit,366.22,Credit,Accounts Receivable
PayPal Business In-store,376.14,Credit,Accounts Receivable
Square Deposit (4/26/2025),258.44,Credit,Accounts Receivable
Received Check #3767 (9/15/2025),287.3,Credit,Accounts Receivable
Venmo Payment Online,384.89,Credit,Accounts Receivable
PayPal Business,270.79,Credit,Accounts Receivable
Uber Payout In-store,418.89,Credit,Accounts Receivable
DoorDash Driver Pay (6/8/2025),106.46,Credit,Accounts Receivable
PayPal Business - CA,437.9,Credit,Accounts Receivable
Received Check #5057 Online,445.61,Credit,Accounts Receivable
Check #3722 - NY,63.33,Credit,Accounts Receivable
PayPal Business (12/13/2025),19.97,Credit,Accounts Receivable
Venmo Payment #3230,446.91,Credit,Accounts Receivable
Check #6770,333.01,Credit,Accounts Receivable
DoorDash Driver Pay (11/22/2025),64.34,Credit,Accounts Receivable
Cash App Transfer,47.9,Credit,Accounts Receivable
Stripe Transfer,430.19,Credit,Accounts Receivable
Stripe Transfer (11/13/2025),88.87,Credit,Accounts Receivable
Zelle from John Doe - CA,70.48,Credit,Accounts Receivable
Venmo Payment #2559,489.37,Credit,Accounts Receivable
Check #6412 Online,128.21,Credit,Accounts Receivable
Cash App Transfer Online,169.8,Credit,Accounts Receivable
Zelle from John Doe In-store,244.61,Credit,Accounts Receivable
Stripe Transfer #8304,310.24,Credit,Accounts Receivable
Zelle from John Doe #2890,390.68,Credit,Accounts Receivable
Stripe Transfer #1756,298.64,Credit,Accounts Receivable
Client Check #5499,334.72,Credit,Accounts Receivable
Square Deposit #4470,347.44,Credit,Accounts Receivable
Received Check #7405 - TX,303.94,Credit,Accounts Receivable
Square Deposit #5720,71.28,Credit,Accounts Receivable
Received Check #3502 #5773,318.42,Credit,Accounts Receivable
Stripe Transfer (11/18/2025),302.1,Credit,Accounts Receivable
Cash App Transfer #1276,387.71,Credit,Accounts Receivable
Venmo Payment - CA,105.97,Credit,Accounts Receivable
PayPal Business #7139,349.19,Credit,Accounts Receivable
Zelle from John Doe (12/8/2025),278.57,Credit,Accounts Receivable
Uber Payout - CA,227.14,Credit,Accounts Receivable
PayPal Business - CA,205.38,Credit,Accounts Receivable
Client Check #7894 #1225,425.26,Credit,Accounts Receivable
Client Check #5335 - NY,294.93,Credit,Accounts Receivable
Uber Payout #3478,123.74,Credit,Accounts Receivable
Client Check #1427,485.93,Credit,Accounts Receivable
Client Check #4431 In-store,205.31,Credit,Accounts Receivable
Uber Payout Online,50.66,Credit,Accounts Receivable
Received Check #9528 Online,491.52,Credit,Accounts Receivable
Venmo Payment (7/4/2025),255.61,Credit,Accounts Receivable
Stripe Transfer (7/4/2025),398.42,Credit,Accounts Receivable
Client Check #4887 Online,239.22,Credit,Accounts Receivable
PayPal Business In-store,65.39,Credit,Accounts Receivable
Venmo Payment #5596,283.53,Credit,Accounts Receivable
PayPal Business #9940,360.94,Credit,Accounts Receivable
Received Check #5558 #7425,190.89,Credit,Accounts Receivable
Uber Payout #2155,68.8,Credit,Accounts Receivable
Cash App Transfer In-store,497.61,Credit,Accounts Receivable
Venmo Payment - CA,333.26,Credit,Accounts Receivable
Stripe Transfer #3074,290.28,Credit,Accounts Receivable
DoorDash Driver Pay Online,452.07,Credit,Accounts Receivable
Cash App Transfer - CA,20.29,Credit,Accounts Receivable
Stripe Transfer - TX,376.25,Credit,Accounts Receivable
Client Check #1856 Online,80.75,Credit,Accounts Receivable
Check #3802,118.46,Credit,Accounts Receivable
Client Check #1447 #3352,155.71,Credit,Accounts Receivable
Client Check #3689 In-store,50.27,Credit,Accounts Receivable
Uber Payout,79.98,Credit,Accounts Receivable
PayPal Business (8/15/2025),200.44,Credit,Accounts Receivable
Uber Payout #4873,153.34,Credit,Accounts Receivable
DoorDash Driver Pay,68.38,Credit,Accounts Receivable
Venmo Payment #9470,113.02,Credit,Accounts Receivable
Uber Payout,233.2,Credit,Accounts Receivable
Uber Payout,348.64,Credit,Accounts Receivable
Stripe Transfer #5899,206.24,Credit,Accounts Receivable
Check #7299 #7146,31.17,Credit,Accounts Receivable
Check #6603 #5911,429.82,Credit,Accounts Receivable
Square Deposit (10/14/2025),177.84,Credit,Accounts Receivable
Check #6995 Online,351.03,Credit,Accounts Receivable
PayPal Business,199.23,Credit,Accounts Receivable
Uber Payout Online,184.06,Credit,Accounts Receivable
Uber Payout #5451,336.22,Credit,Accounts Receivable
Client Check #4935 - TX,241.58,Credit,Accounts Receivable
PayPal Business #4727,270.37,Credit,Accounts Receivable
Client Check #6498,162.46,Credit,Accounts Receivable
Received Check #2920,365.0,Credit,Accounts Receivable
Uber Payout - TX,283.67,Credit,Accounts Receivable
Venmo Payment In-store,48.53,Credit,Accounts Receivable
Venmo Payment #1853,14.54,Credit,Accounts Receivable
PayPal Business In-store,153.99,Credit,Accounts Receivable
Square Deposit,125.41,Credit,Accounts Receivable
Uber Payout,259.91,Credit,Accounts Receivable
PayPal Business,151.22,Credit,Accounts Receivable
Zelle from John Doe (10/26/2025),497.5,Credit,Accounts Receivable
PayPal Business,422.1,Credit,Accounts Receivable
Check #2756 In-store,66.76,Credit,Accounts Receivable
Zelle from John Doe (7/24/2025),225.62,Credit,Accounts Receivable
Zelle from John Doe,91.35,Credit,Accounts Receivable
Square Deposit (11/23/2025),120.24,Credit,Accounts Receivable
Venmo Payment - NY,208.71,Credit,Accounts Receivable
Zelle from John Doe In-store,347.07,Credit,Accounts Receivable
Venmo Payment #2614,128.59,Credit,Accounts Receivable
Zelle from John Doe - TX,377.14,Credit,Accounts Receivable
Stripe Transfer (12/5/2025),479.42,Credit,Accounts Receivable
Cash App Transfer #4068,288.51,Credit,Accounts Receivable
Stripe Transfer In-store,288.77,Credit,Accounts Receivable
Venmo Payment #9269,251.76,Credit,Accounts Receivable
Check #9315 - NY,315.35,Credit,Accounts Receivable
Stripe Transfer - NY,207.02,Credit,Accounts Receivable
PayPal Business,160.84,Credit,Accounts Receivable
Check #4816 - TX,179.36,Credit,Accounts Receivable
PayPal Business (7/27/2025),456.63,Credit,Accounts Receivable
Cash App Transfer,366.45,Credit,Accounts Receivable
Cash App Transfer In-store,41.0,Credit,Accounts Receivable
Stripe Transfer (12/14/2025),393.71,Credit,Accounts Receivable
Uber Payout - TX,172.64,Credit,Accounts Receivable
Venmo Payment #9194,240.84,Credit,Accounts Receivable
Received Check #4165 - TX,271.86,Credit,Accounts Receivable
Stripe Transfer Online,111.24,Credit,Accounts Receivable
DoorDash Driver Pay Online,71.19,Credit,Accounts Receivable
Uber Payout #6512,339.64,Credit,Accounts Receivable
Stripe Transfer (12/23/2025),446.26,Credit,Accounts Receivable
Zelle from John Doe #3500,231.95,Credit,Accounts Receivable
Cash App Transfer #5956,489.0,Credit,Accounts Receivable
Zelle from John Doe (3/28/2025),83.05,Credit,Accounts Receivable
Zelle from John Doe #4472,73.53,Credit,Accounts Receivable
Check #8643 #6065,304.07,Credit,Accounts Receivable
Stripe Transfer - CA,203.74,Credit,Accounts Receivable
Client Check #1456 (3/7/2025),289.03,Credit,Accounts Receivable
Check #8452 In-store,214.62,Credit,Accounts Receivable
Check #5949 In-store,352.5,Credit,Accounts Receivable
PayPal Business (10/11/2025),24.53,Credit,Accounts Receivable
Client Check #2605,41.43,Credit,Accounts Receivable
Venmo Payment (12/15/2025),417.94,Credit,Accounts Receivable
Received Check #7344 Online,191.58,Credit,Accounts Receivable
Venmo Payment (11/6/2025),472.47,Credit,Accounts Receivable
Client Check #8148 - TX,98.59,Credit,Accounts Receivable
Client Check #2112 (10/12/2025),404.4,Credit,Accounts Receivable
Stripe Transfer (8/14/2025),57.99,Credit,Accounts Receivable
Zelle from John Doe - CA,296.07,Credit,Accounts Receivable
Cash App Transfer In-store,400.87,Credit,Accounts Receivable
Zelle from John Doe Online,350.53,Credit,Accounts Receivable
Square Deposit - NY,134.03,Credit,Accounts Receivable
Received Check #9431 In-store,238.85,Credit,Accounts Receivable
Cash App Transfer (8/16/2025),363.99,Credit,Accounts Receivable
Received Check #8083,81.26,Credit,Accounts Receivable
DoorDash Driver Pay (1/15/2025),7.96,Credit,Accounts Receivable
DoorDash Driver Pay (9/25/2025),430.0,Credit,Accounts Receivable
DoorDash Driver Pay - CA,87.75,Credit,Accounts Receivable
Received Check #8013 - TX,417.18,Credit,Accounts Receivable
Uber Payout #5571,333.18,Credit,Accounts Receivable
Stripe Transfer - NY,305.17,Credit,Accounts Receivable
Venmo Payment - NY,474.54,Credit,Accounts Receivable
Stripe Transfer (2/13/2025),131.69,Credit,Accounts Receivable
Zelle from John Doe #3352,91.68,Credit,Accounts Receivable
Uber Payout,146.08,Credit,Accounts Receivable
Uber Payout In-store,99.83,Credit,Accounts Receivable
DoorDash Driver Pay (9/13/2025),487.33,Credit,Accounts Receivable
Client Check #2977 - TX,284.68,Credit,Accounts Receivable
Venmo Payment,253.56,Credit,Accounts Receivable
Cash App Transfer Online,166.77,Credit,Accounts Receivable
Stripe Transfer,208.61,Credit,Accounts Receivable
Venmo Payment Online,242.62,Credit,Accounts Receivable
Venmo Payment In-store,37.68,Credit,Accounts Receivable
Stripe Transfer,454.37,Credit,Accounts Receivable
DoorDash Driver Pay Online,386.45,Credit,Accounts Receivable
Square Deposit (5/16/2025),380.72,Credit,Accounts Receivable
Check #3777 (12/9/2025),441.2,Credit,Accounts Receivable
Stripe Transfer,426.22,Credit,Accounts Receivable
DoorDash Driver Pay,95.18,Credit,Accounts Receivable
PayPal Business,363.96,Credit,Accounts Receivable
Uber Payout - NY,360.09,Credit,Accounts Receivable
Cash App Transfer,28.24,Credit,Accounts Receivable
Check #8767 Online,86.67,Credit,Accounts Receivable
Cash App Transfer - CA,62.62,Credit,Accounts Receivable
Uber Payout #1543,55.51,Credit,Accounts Receivable
Check #9613 (8/16/2025),35.84,Credit,Accounts Receivable
Check #9270 In-store,369.2,Credit,Accounts Receivable
Stripe Transfer - TX,408.81,Credit,Accounts Receivable
Venmo Payment #5031,330.78,Credit,Accounts Receivable
DoorDash Driver Pay (12/25/2025),311.82,Credit,Accounts Receivable
Client Check #3970 (5/8/2025),495.39,Credit,Accounts Receivable
Cash App Transfer - CA,315.89,Credit,Accounts Receivable
Cash App Transfer,288.41,Credit,Accounts Receivable
Zelle from John Doe,47.52,Credit,Accounts Receivable
Received Check #5000 Online,308.71,Credit,Accounts Receivable
Zelle from John Doe Online,398.86,Credit,Accounts Receivable
Cash App Transfer #6054,498.42,Credit,Accounts Receivable
Cash App Transfer - TX,340.84,Credit,Accounts Receivable
PayPal Business,102.64,Credit,Accounts Receivable
Venmo Payment - CA,199.6,Credit,Accounts Receivable
Venmo Payment (7/24/2025),255.86,Credit,Accounts Receivable
DoorDash Driver Pay (6/11/2025),357.87,Credit,Accounts Receivable
Venmo Payment - TX,77.57,Credit,Accounts Receivable
DoorDash Driver Pay - NY,77.12,Credit,Accounts Receivable
Zelle from John Doe In-store,233.97,Credit,Accounts Receivable
Cash App Transfer Online,133.38,Credit,Accounts Receivable
Client Check #3961 In-store,278.83,Credit,Accounts Receivable
Square Deposit (11/23/2025),43.41,Credit,Accounts Receivable
PayPal Business #9252,29.5,Credit,Accounts Receivable
DoorDash Driver Pay - TX,396.66,Credit,Accounts Receivable
Client Check #3068 (10/2/2025),263.08,Credit,Accounts Receivable
Stripe Transfer In-store,339.23,Credit,Accounts Receivable
PayPal Business (12/20/2025),330.2,Credit,Accounts Receivable
Square Deposit,186.37,Credit,Accounts Receivable
Check #1216 Online,348.05,Credit,Accounts Receivable
Venmo Payment,470.15,Credit,Accounts Receivable
Square Deposit - NY,161.03,Credit,Accounts Receivable
DoorDash Driver Pay In-store,261.99,Credit,Accounts Receivable
Venmo Payment #1550,397.62,Credit,Accounts Receivable
DoorDash Driver Pay In-store,464.4,Credit,Accounts Receivable
Cash App Transfer (11/16/2025),174.47,Credit,Accounts Receivable
Stripe Transfer - CA,453.77,Credit,Accounts Receivable
Venmo Payment #4694,471.02,Credit,Accounts Receivable
Zelle from John Doe,184.63,Credit,Accounts Receivable
Received Check #7399 - CA,158.35,Credit,Accounts Receivable
Venmo Payment Online,78.7,Credit,Accounts Receivable
Zelle from John Doe (1/9/2025),141.44,Credit,Accounts Receivable
Zelle from John Doe,141.73,Credit,Accounts Receivable
Uber Payout #4688,57.55,Credit,Accounts Receivable
Square Deposit,95.21,Credit,Accounts Receivable
Venmo Payment In-store,420.32,Credit,Accounts Receivable
Zelle from John Doe,131.05,Credit,Accounts Receivable
Check #6772 - CA,186.48,Credit,Accounts Receivable
PayPal Business (1/12/2025),313.51,Credit,Accounts Receivable
PayPal Business #4385,175.37,Credit,Accounts Receivable
Check #8403,91.56,Credit,Accounts Receivable
Uber Payout Online,399.37,Credit,Accounts Receivable
PayPal Business (12/5/2025),113.08,Credit,Accounts Receivable
Received Check #2617 - NY,443.39,Credit,Accounts Receivable
Square Deposit - NY,199.32,Credit,Accounts Receivable
Cash App Transfer In-store,407.99,Credit,Accounts Receivable
DoorDash Driver Pay Online,480.74,Credit,Accounts Receivable
Square Deposit In-store,282.39,Credit,Accounts Receivable
Venmo Payment #4758,408.48,Credit,Accounts Receivable
Client Check #9921 Online,337.46,Credit,Accounts Receivable
Square Deposit,488.62,Credit,Accounts Receivable
Client Check #7334 Online,307.8,Credit,Accounts Receivable
Venmo Payment,301.33,Credit,Accounts Receivable
DoorDash Driver Pay (2/28/2025),108.09,Credit,Accounts Receivable
Client Check #3480 - TX,248.82,Credit,Accounts Receivable
Received Check #8310 - NY,279.04,Credit,Accounts Receivable
Check #2175 #3359,491.14,Credit,Accounts Receivable
Zelle from John Doe #1911,7.75,Credit,Accounts Receivable
Uber Payout - NY,454.06,Credit,Accounts Receivable
DoorDash Driver Pay Online,421.2,Credit,Accounts Receivable
DoorDash Driver Pay Online,141.72,Credit,Accounts Receivable
Stripe Transfer - NY,268.96,Credit,Accounts Receivable
Zelle from John Doe,488.38,Credit,Accounts Receivable
Check #1589,354.25,Credit,Accounts Receivable
Zelle from John Doe,165.76,Credit,Accounts Receivable
Check #6890 #3439,285.84,Credit,Accounts Receivable
Received Check #1746,47.21,Credit,Accounts Receivable
Stripe Transfer - NY,196.47,Credit,Accounts Receivable
PayPal Business (11/8/2025),393.12,Credit,Accounts Receivable
DoorDash Driver Pay (1/22/2025),374.32,Credit,Accounts Receivable
Check #1749 (7/20/2025),80.86,Credit,Accounts Receivable
Check #7788 (6/16/2025),115.53,Credit,Accounts Receivable
Venmo Payment #4201,227.37,Credit,Accounts Receivable
Client Check #3007 (1/9/2025),156.64,Credit,Accounts Receivable
Stripe Transfer (2/18/2025),94.65,Credit,Accounts Receivable
Cash App Transfer (2/18/2025),214.77,Credit,Accounts Receivable
Uber Payout,279.1,Credit,Accounts Receivable
Check #5801 Online,395.89,Credit,Accounts Receivable
PayPal Business (10/9/2025),399.74,Credit,Accounts Receivable
Uber Payout - NY,112.52,Credit,Accounts Receivable
Stripe Transfer - NY,334.07,Credit,Accounts Receivable
DoorDash Driver Pay (1/7/2025),224.65,Credit,Accounts Receivable
